"12 Aug 2011 17:58:47","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:01:26","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:01:30","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:03:00","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:04:38","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:05:42","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:06:56","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:06:56","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:07:55","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:07:55","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:08:39","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:08:39","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:09:10","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:09:13","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:09:20","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:10:44","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:10:44","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined index:  email"
"12 Aug 2011 18:11:27","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:11:27","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined index:  email"
"12 Aug 2011 18:11:32","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:11:32","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined index:  email"
"12 Aug 2011 18:15:22","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:15:22","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:15:22","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined index:  email"
"12 Aug 2011 18:16:24","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      59","(Notice) Undefined index:  email"
"12 Aug 2011 18:16:24","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:16:24","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined index:  email"
"12 Aug 2011 18:17:35","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:17:35","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      61","(Notice) Undefined variable: _SESSION"
"12 Aug 2011 18:17:35","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined index:  email"
"12 Aug 2011 18:17:47","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:17:47","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      61","(Notice) Undefined variable: _SESSION"
